Subregion,Location type,Capacity (m3/d),Unit size (m3/d),Technology,Membrane type (RO),Feedwater,Customer type,Industry,Customer,Plant type,Plant supplier,Plant supplier share,Procurement model,EPC price,Product water salinity,EPC contractor (desal),Equipment supplier : Membranes (Not specified / Other),Holding Company,RO System,RO Feed Pump Drive,RO Membrane Type,RO Pre Treament 1st Stage,Pretreatment
Middle East / North Africa,Land based,14989,2997.8,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Oil & Gas,Saudi Arabian Oil Company (Saudi Aramco),Stand-alone,Al Kawther Industries,100,EPC,"7,700,000 USD",,Al Kawther Industries,DuPont (now Dupont Water Solutions),Al Murjan Group,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,11350,1135,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),General,Royal Commission for Jubail and Yanbu,Stand-alone,Hydranautics,100,EPC,"11,450,000 USD",,Hydranautics,,Nitto Denko Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,10080,3360,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Ministry of Agriculture and Water,Stand-alone,Preussag Wassertechnik(PWT),100,EPC,"9,500,000 USD",,Preussag Wassertechnik(PWT),Saudi Industries for Desalination Membranes & Systems Ltd. (Sidmas),Amiantit Group,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,8750,8750,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,Royal Saudi Air Force,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"6,940,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",,Veolia,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,8750,1250,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,Ministry of Defence and Aviation,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"8,790,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",TriSep Corporation (now Microdyn-Nadir GmbH),Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,7000,3500,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Oil & Gas,SAUDI PETROCHEMICAL COMPANY (SADAF),Stand-alone,General Enterprises and Trading Co. Ltd. (GETCO),100,EPC,"150,000 USD",,General Enterprises and Trading Co. Ltd. (GETCO),Dow Filmtec (now Dupont Water Solutions),General Enterprises and Trading Co. Ltd. (GETCO),Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,6000,,RO (Reverse Osmosis),Hollow Fibre Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Saline Water Conversion Corporation,Stand-alone,"Al Kawther Industries, Envirogenics",50,EPC,"14,600,000 USD",,Al Kawther Industries / Envirogenics,Toyobo Co. Ltd.,Consortium,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,6000,1500,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),General,,Stand-alone,General Enterprises and Trading Co. Ltd. (GETCO),100,EPC,"4,000,000 USD",,General Enterprises and Trading Co. Ltd. (GETCO),DuPont (now Dupont Water Solutions),General Enterprises and Trading Co. Ltd. (GETCO),Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,5700,950,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,Ministry of Defence and Aviation,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"5,790,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",Dow Filmtec (now Dupont Water Solutions),Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,5250,2625,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,SANG,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"5,000,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",DuPont (now Dupont Water Solutions),Veolia,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,3784,946,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,Royal Commission for Jubail and Yanbu,Stand-alone,Hydranautics,100,EPC,"3,840,000 USD",,Hydranautics,,Nitto Denko Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,3130,3130,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,General Enterprises and Trading Co. Ltd. (GETCO),100,EPC,"2,950,000 USD",,General Enterprises and Trading Co. Ltd. (GETCO),Dow Filmtec (now Dupont Water Solutions),General Enterprises and Trading Co. Ltd. (GETCO),Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,2608,1304,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Irrigation (TDS <1000ppm),,Dairy,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"2,610,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",Dow Filmtec (now Dupont Water Solutions),Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,2270,,RO (Reverse Osmosis),Hollow Fibre Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Saline Water Conversion Corporation,Stand-alone,Al Kawther Industries,100,EPC,"2,860,000 USD",,Al Kawther Industries,DuPont (now Dupont Water Solutions),Al Murjan Group,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,2200,1100,RO (Reverse Osmosis),Hollow Fibre Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Saline Water Conversion Corporation,Stand-alone,Al Kawther Industries,100,EPC,"2,860,000 USD",,Al Kawther Industries,Toyobo Co. Ltd.,Al Murjan Group,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,2182,545.5,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Oil & Gas,Saudi Arabian Oil Company (Saudi Aramco),Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"2,250,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",DuPont (now Dupont Water Solutions),Veolia,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,2160,720,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),General,Float Glass Factory,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"2,210,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",Dow Filmtec (now Dupont Water Solutions),Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,2160,2160,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,Al Jomaih Holding Company,Stand-alone,Al Kawther Industries,100,EPC,"2,100,000 USD",,Al Kawther Industries,Dow Filmtec (now Dupont Water Solutions),Al Murjan Group,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,1900,950,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Al Kawther Industries,100,EPC,"1,930,000 USD",,Al Kawther Industries,DuPont (now Dupont Water Solutions),Al Murjan Group,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,1750,1750,RO (Reverse Osmosis),Hollow Fibre Membrane,Seawater (TDS 20000ppm - 50000ppm),Military purposes (TDS 10ppm- <1000ppm),,ADC / MODA,Stand-alone,Al Kawther Industries,100,EPC,"4,440,000 USD",,Al Kawther Industries,DuPont (now Dupont Water Solutions),Al Murjan Group,,,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,1703,1703,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),General,Alfa Laval Process Technology,Stand-alone,Arocon,100,EPC,"1,680,000 USD",,Arocon,,Arocon,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,1515,505,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,Saline Water Conversion Corporation,Stand-alone,Ansaldo Energia,100,EPC,"1,560,000 USD",,Ansaldo Energia,,Ansaldo Energia,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,1500,1500,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Military purposes (TDS 10ppm- <1000ppm),,Ministry of Defence and Aviation,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"3,840,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",DuPont (now Dupont Water Solutions),Veolia,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,1500,1500,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Qassim Medical Services,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"1,490,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",,Veolia,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,1500,,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",,EPC,"1,750,000 USD",,,,,,,,,  
Middle East / North Africa,Land based,1470,1470,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,SICEP,100,EPC,"1,470,000 USD",,SICEP,DuPont (now Dupont Water Solutions),SICEP,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,1363,340.75,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Al Kawther Industries,100,EPC,"800,000 USD",,Al Kawther Industries,DuPont (now Dupont Water Solutions),Al Murjan Group,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,1182,1182,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,Ministry of Defence and Aviation,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"1,190,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",,Veolia,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,1124,,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",,EPC,"1,150,000 USD",,,,,,,,,  
Middle East / North Africa,Land based,1092,1092,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,General Enterprises and Trading Co. Ltd. (GETCO),100,EPC,"1,100,000 USD",,General Enterprises and Trading Co. Ltd. (GETCO),"Desalination Systems, Inc. ",General Enterprises and Trading Co. Ltd. (GETCO),Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,1000,1000,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,Military City,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"1,010,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",,Veolia,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,1000,500,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,Ministry of Defence and Aviation,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"1,030,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",,Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,970,970,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,Ministry of Agriculture and Water,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"980,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",,Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,950,950,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Irrigation (TDS <1000ppm),,,Stand-alone,Arocon,100,EPC,"960,000 USD",,Arocon,,Arocon,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,900,450,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,General Enterprises and Trading Co. Ltd. (GETCO),100,EPC,"740,000 USD",,General Enterprises and Trading Co. Ltd. (GETCO),"Desalination Systems, Inc. ",General Enterprises and Trading Co. Ltd. (GETCO),Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,900,900,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,Ministry of Defence and Aviation,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"920,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",DuPont (now Dupont Water Solutions),Veolia,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,800,800,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Irrigation (TDS <1000ppm),,Private,Stand-alone,Preussag Wassertechnik(PWT),100,EPC,"650,000 USD",,Preussag Wassertechnik(PWT),,Amiantit Group,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,800,800,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Irrigation (TDS <1000ppm),,Private,Stand-alone,Preussag Wassertechnik(PWT),100,EPC,"650,000 USD",,Preussag Wassertechnik(PWT),,Amiantit Group,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,783,391.5,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Al Kawther Industries,100,EPC,"400,000 USD",,Al Kawther Industries,DuPont (now Dupont Water Solutions),Al Murjan Group,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,757,757,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,Naval Base,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"1,000,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",DuPont (now Dupont Water Solutions),Veolia,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,750,750,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Private palace,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"770,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",,Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,750,750,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Food & Beverage,"PepsiCo, Inc",Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"770,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",Dow Filmtec (now Dupont Water Solutions),Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,700,350,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Hospital,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"730,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.","Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,673,673,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Lambro ,100,EPC,"690,000 USD",,Lambro ,,Idrodepurazione,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,656,328,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Food & Beverage,"PepsiCo, Inc",Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"680,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",,Veolia,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,650,650,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Irrigation (TDS <1000ppm),,AALICO,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"670,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",Koch Membrane Systems,Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,600,300,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Oil & Gas,AMEC,Stand-alone,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",100,EPC,"200,000 USD",,"Veolia Water Solutions & Technologies, Saudi-Industries Ltd.",DuPont (now Dupont Water Solutions),Veolia,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,600,300,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Irrigation (TDS <1000ppm),,Private,Stand-alone,Preussag Wassertechnik(PWT),100,EPC,"400,000 USD",,Preussag Wassertechnik(PWT),,Amiantit Group,Single Pass,Electric Motor,Spiral Wound Membrane,,  
